event_epoch,pre_epoch,feature,pre,post,diff,zscore,abs_z
200,0,env__water_p10_diff_0_minus_1,0.013934099674224903,0.011202049255371091,-0.0027320504188538125,-0.16971170413953324,0.16971170413953324
200,0,env__water_p25_diff_0_minus_1,-0.010716795921325684,-0.0007705390453338623,0.009946256875991821,0.5072998299461138,0.5072998299461138
200,0,env__water_p50_diff_0_minus_1,0.025994420051574707,-0.07087379693984985,-0.09686821699142456,-3.2613559077489818,3.2613559077489818
200,0,env__water_p75_diff_0_minus_1,0.012655973434448242,0.04693832993507385,0.03428235650062561,3.3264775764605976,3.3264775764605976
200,0,env__water_p90_diff_0_minus_1,0.019115424156189165,-0.009950804710388339,-0.029066228866577504,-2.871345032910482,2.871345032910482
200,0,env__water_max_diff_0_minus_1,-0.002306044101714977,-0.008853554725646973,-0.006547510623931996,-1.5794416664558866,1.5794416664558866
200,0,env__err_abs_mean_diff_0_minus_1,0.2585973230464813,-0.0380674521017778,-0.2966647751482591,-3.5367917846608363,3.5367917846608363
200,0,env__err_abs_std_diff_0_minus_1,0.098747113862195,-0.056340666334842,-0.155087780197037,-3.6882342087171094,3.6882342087171094
200,0,env__err_abs_min_diff_0_minus_1,0.0054346323013305,0.0,-0.0054346323013305,-3.3166247903554,3.3166247903554
200,0,env__err_abs_p10_diff_0_minus_1,0.1026704788208008,0.0,-0.1026704788208008,-3.3166247903553994,3.3166247903553994
200,0,env__err_abs_p25_diff_0_minus_1,0.2113866209983825,0.0,-0.2113866209983825,-3.3166247903554,3.3166247903554
200,0,env__err_abs_p50_diff_0_minus_1,0.2762588858604431,-0.020837485790252696,-0.2970963716506958,-3.575991810876031,3.575991810876031
200,0,env__err_abs_p75_diff_0_minus_1,0.324873611330986,-0.055394560098648106,-0.38026817142963415,-3.583324971594293,3.583324971594293
200,0,env__err_abs_p90_diff_0_minus_1,0.3578719139099121,-0.10229198932647711,-0.46016390323638917,-3.5954260143759207,3.5954260143759207
200,0,env__err_abs_max_diff_0_minus_1,0.6349954009056091,-0.4347414374351502,-1.0697368383407593,-3.896413306465196,3.896413306465196
200,0,env__err_signed_mean_diff_0_minus_1,-0.2317065822487322,0.019047887222652,0.2507544694713842,3.5884548603612703,3.5884548603612703
200,0,env__err_signed_std_diff_0_minus_1,0.1514451310723821,-0.0692516377590959,-0.220696768831478,-3.7064832673032875,3.7064832673032875
200,0,env__err_signed_min_diff_0_minus_1,-0.4436671137809753,0.171428382396698,0.6150954961776733,3.3370438426078284,3.3370438426078284
200,0,env__err_signed_p10_diff_0_minus_1,-0.3541429877281189,0.1022482037544251,0.45639119148254403,3.7799924806975653,3.7799924806975653
200,0,env__err_signed_p25_diff_0_minus_1,-0.3205115795135498,0.0553771257400512,0.375888705253601,3.789595562759344,3.789595562759344
200,0,env__err_signed_p50_diff_0_minus_1,-0.2698037624359131,0.0,0.2698037624359131,3.3162714953424453,3.3162714953424453
200,0,env__err_signed_p75_diff_0_minus_1,-0.203702837228775,0.0252590775489807,0.22896191477775568,3.586516433718275,3.586516433718275
200,0,env__err_signed_p90_diff_0_minus_1,-0.0485546588897705,-0.024281370639801,0.0242732882499695,1.525778580099689,1.525778580099689
200,0,env__err_signed_max_diff_0_minus_1,0.6349954009056091,-0.4445339441299439,-1.079529345035553,-3.7956902294458,3.7956902294458
200,0,prof__attn_mass_0_2_island0,0.4320507645606994,0.5143835544586182,0.08233278989791876,1.1577912452495787,1.1577912452495787
200,0,prof__attn_mass_0_2_island1,0.4313357472419739,0.3786133527755737,-0.0527223944664002,-1.782105729247654,1.782105729247654
200,0,prof__attn_mass_3_5_island0,0.4256836771965027,0.452087938785553,0.026404261589050293,0.29802370482550694,0.29802370482550694
200,0,prof__attn_mass_3_5_island1,0.4263172447681427,0.5962338447570801,0.16991659998893738,2.794457919690622,2.794457919690622
200,0,prof__attn_mass_6_island0,0.1422656178474426,0.0335283912718296,-0.108737226575613,-3.226536036371952,3.226536036371952
200,0,prof__attn_mass_6_island1,0.1423470973968505,0.0251528285443782,-0.1171942688524723,-3.432232424986169,3.432232424986169
200,0,prof__attn_mean_0_island0,0.144348993897438,0.1721101552248001,0.027761161327362116,1.214265309359576,1.214265309359576
200,0,prof__attn_mean_0_island1,0.1434528082609176,0.1280648112297058,-0.015387997031211798,-2.0349901950917957,2.0349901950917957
200,0,prof__attn_mean_1_island0,0.1438468694686889,0.1728136390447616,0.028966769576072693,1.2368712186685196,1.2368712186685196
200,0,prof__attn_mean_1_island1,0.1439322531223297,0.12368044257164,-0.02025181055068971,-1.5593958040024478,1.5593958040024478
200,0,prof__attn_mean_2_island0,0.1438549309968948,0.1694597750902176,0.02560484409332278,1.029882764764575,1.029882764764575
200,0,prof__attn_mean_2_island1,0.1439507007598877,0.1268680989742279,-0.01708260178565979,-1.8545017335428342,1.8545017335428342
200,0,prof__attn_mean_3_island0,0.1425510942935943,0.1046167314052581,-0.03793436288833621,-1.915991726038532,1.915991726038532
200,0,prof__attn_mean_3_island1,0.1428613364696502,0.2075513899326324,0.06469005346298218,2.6462797700381815,2.6462797700381815
200,0,prof__attn_mean_4_island0,0.1434829533100128,0.2454237341880798,0.10194078087806702,1.5152411566577417,1.5152411566577417
200,0,prof__attn_mean_4_island1,0.142591506242752,0.1825318485498428,0.039940342307090815,1.343466044183912,1.343466044183912
200,0,prof__attn_mean_5_island0,0.1396496444940567,0.1020474731922149,-0.037602171301841805,-1.6236504666449156,1.6236504666449156
200,0,prof__attn_mean_5_island1,0.1408644020557403,0.2061505913734436,0.0652861893177033,3.1289495447946933,3.1289495447946933
